Change Physical Footprint: Designator=C9 Old Footprint=FILMBOX_SMALL New Footprint=FILMBOX_SMALL
Change Physical Footprint: Designator=R1 Old Footprint=R_3_47R_025W New Footprint=R_3_47R_025W
Change Physical Footprint: Designator=R2 Old Footprint=R_3_47k_025W New Footprint=R_3_47k_025W
Change Physical Footprint: Designator=R3 Old Footprint=R_3_47k_025W New Footprint=R_3_47k_025W
Change Physical Footprint: Designator=R4 Old Footprint=R_3_1M_025W New Footprint=R_3_1M_025W
Change Physical Footprint: Designator=R5 Old Footprint=R_3_10k_025W New Footprint=R_3_10k_025W
Change Physical Footprint: Designator=R6 Old Footprint=R_3_1k_025W New Footprint=R_3_1k_025W
Change Physical Footprint: Designator=R7 Old Footprint=R_3_1M_025W New Footprint=R_3_1M_025W
Change Physical Footprint: Designator=R8 Old Footprint=R_3_10k_025W New Footprint=R_3_10k_025W
Change Physical Footprint: Designator=R9 Old Footprint=R_3_220k_025W New Footprint=R_3_220k_025W
Change Physical Footprint: Designator=R10 Old Footprint=R_3_6.8k_025W New Footprint=R_3_6.8k_025W
Change Physical Footprint: Designator=R11 Old Footprint=R_3_1M_025W New Footprint=R_3_1M_025W
Change Physical Footprint: Designator=R12 Old Footprint=R_3_6.8k_025W New Footprint=R_3_6.8k_025W
Change Physical Footprint: Designator=R13 Old Footprint=R_3_27k_025W New Footprint=R_3_27k_025W
Change Physical Footprint: Designator=R14 Old Footprint=R_3_33k_025W New Footprint=R_3_33k_025W
Change Physical Footprint: Designator=R15 Old Footprint=R_3_1k_025W New Footprint=R_3_1k_025W
Change Physical Footprint: Designator=R16 Old Footprint=R_3_22k_025W New Footprint=R_3_22k_025W
